Hazard Group (EN),Hazard Group (FR),Hazard Group (DE),Sub-Hazard (EN),Sub-Hazard (FR),Sub-Hazard (DE)
Hazardous Energy,Dangers liés aux énergies,Gefährliche Energie,Magnetic,Magnétisme,Magnetisch
Hazardous Energy,Dangers liés aux énergies,Gefährliche Energie,Pneumatic,Pneumatique,Pneumatik
Hazardous Energy,Dangers liés aux énergies,Gefährliche Energie,"Stored energy (pneumatic, hydraulic, mechanical, electrical)","Énergie stockée (pneumatique, hydraulique, mécanique, électrique)","Gespeicherte Energie (pneumatisch, hydraulisch, mechanisch, elektrisch)"
Hazardous Energy,Dangers liés aux énergies,Gefährliche Energie,"Thermal energy (steam, heated surfaces)","Énergie thermique (vapeur, surfaces chaudes)","Thermische Energie (Dampf, erhitzte Oberflächen)"
Hazardous Energy,Dangers liés aux énergies,Gefährliche Energie,Vacuum,Vide,Vakuum
Mechanical / Machinery Hazards,Dangers mécaniques / liés aux machines,Mechanische / Maschinenrisiken,Acceleration / deceleration,Accélération / décélération,Beschleunigung / Verzögerung
Mechanical / Machinery Hazards,Dangers mécaniques / liés aux machines,Mechanische / Maschinenrisiken,"Angular, sharp and cutting elements","Éléments anguleux, tranchants et coupants","Winklige, scharfe und schneidende Elemente"
Mechanical / Machinery Hazards,Dangers mécaniques / liés aux machines,Mechanische / Maschinenrisiken,Degraded or malfunctioning equipment,Équipements dégradés ou défectueux,Verschleißtes oder defektes Gerät
Mechanical / Machinery Hazards,Dangers mécaniques / liés aux machines,Mechanische / Maschinenrisiken,"Ejection (parts, materials)","Éjection (pièces, matériaux)","Auswurf (Teile, Materialien)"
Mechanical / Machinery Hazards,Dangers mécaniques / liés aux machines,Mechanische / Maschinenrisiken,Equipment failure,Défaillance d'équipement,Geräteausfall
Mechanical / Machinery Hazards,Dangers mécaniques / liés aux machines,Mechanische / Maschinenrisiken,"Hand tools (cut, impact, puncture, etc.)","Outils à main (coupure, impact, perforation, etc.)","Handwerkzeuge (Schnitt, Stoß, Stich usw.)"
Mechanical / Machinery Hazards,Dangers mécaniques / liés aux machines,Mechanische / Maschinenrisiken,Improper use of tools/machines,Mauvaise utilisation des outils/machines,Falsche Verwendung von Werkzeugen/Maschinen
Mechanical / Machinery Hazards,Dangers mécaniques / liés aux machines,Mechanische / Maschinenrisiken,Inadequate guarding,Protection inadéquate,Unzureichender Schutz
Mechanical / Machinery Hazards,Dangers mécaniques / liés aux machines,Mechanische / Maschinenrisiken,Moving parts (crushing),Pièces mobiles (écrasement),Bewegliche Teile (Quetschen)
Mechanical / Machinery Hazards,Dangers mécaniques / liés aux machines,Mechanische / Maschinenrisiken,Moving parts (cutting),Pièces mobiles (coupures),Bewegliche Teile (Schneiden)
Mechanical / Machinery Hazards,Dangers mécaniques / liés aux machines,Mechanische / Maschinenrisiken,Pinch / nip points,Points de pincement / coincement,Quetsch- / Einklemmstellen
Mechanical / Machinery Hazards,Dangers mécaniques / liés aux machines,Mechanische / Maschinenrisiken,Powered tools,Outils motorisés,Elektrische Werkzeuge
Mechanical / Machinery Hazards,Dangers mécaniques / liés aux machines,Mechanische / Maschinenrisiken,Rotating parts (entanglement),Pièces rotatives (emmêlement),Rotierende Teile (Verfangen)
Mechanical / Machinery Hazards,Dangers mécaniques / liés aux machines,Mechanische / Maschinenrisiken,Use of lifting equipment and accessories,Utilisation d'équipements de levage et accessoires,Verwendung von Hebezeugen und Zubehör
Mechanical / Machinery Hazards,Dangers mécaniques / liés aux machines,Mechanische / Maschinenrisiken,"Use of suspension equipment (jacks, etc.)","Utilisation d'équipements de suspension (crics, etc.)",Verwendung von Aufhängegeräten (Heber usw.)
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Ambiguity of the roles and responsibilities,Ambiguïté des rôles et responsabilités,Unklarheit der Rollen und Verantwortlichkeiten
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Coactivity,Coactivité,Koaktivität
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Dealing with aggressive or violent people,Gérer des personnes agressives ou violentes,Umgang mit aggressiven oder gewalttätigen Personen
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,"Discrimination (e.g. gender, race, age)","Discrimination (sexe, âge, origine…)","Diskriminierung (z.B. Geschlecht, Rasse, Alter)"
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Disrupted sleep pattern (shift work),Sommeil perturbé (travail posté),Gestörtes Schlafmuster (Schichtarbeit)
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Distraction,Distraction,Ablenkung
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,"Employment restriction (e.g. Pregnant/breastfeeding, handicap)","Restrictions liées à l'emploi (grossesse/allaitement, handicap)","Beschäftigungsbeschränkung (z.B. Schwangere/Stillende, Behinderung)"
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,"Exposure to distressing situations (e.g. emergency services, healthcare, customer complaints)","Exposition à des situations stressantes (urgence, soins, plaintes clients)","Belastende Situationen (z.B. Notdienste, Gesundheitswesen, Kundenbeschwerden)"
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,High job demands (physical or mental workload),Charge de travail élevée (physique ou mentale),Hohe Arbeitsanforderungen (physisch oder mental)
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Inadequate rest areas,Espaces de repos inadéquats,Unzureichende Ruhebereiche
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Inadequate staffing,Effectif insuffisant,Unzureichendes Personal
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Incompatible simultaneous activities,Activités simultanées incompatibles,Inkompatible gleichzeitige Aktivitäten
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Inconsistent communication during organizational change,Communication incohérente lors de changements,Inkonsistente Kommunikation während organisatorischer Veränderungen
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Insufficient / inadequate training,Formation insuffisante / inadéquate,Unzureichende / unangemessene Schulung
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Isolation (especially in remote work or lone working roles),Isolement (travail à distance ou seul),Isolation (besonders bei Fernarbeit oder Alleinarbeit)
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Job insecurity or precarious employment,Précarité de l'emploi / insécurité,Arbeitsplatzunsicherheit oder prekäre Beschäftigung
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Lack of adherence to standard,Manque de conformité aux normes,Mangelnde Einhaltung des Standards
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Lack of communication or feedback,Manque de communication / retour d'information,Mangel an Kommunikation oder Feedback
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Lack of employee involvement in decision-making,Non-participation des employés aux décisions,Mangel an Beteiligung der Mitarbeiter an Entscheidungsfindung
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Lack of privacy or personal space,Manque d'espace privé,Mangel an Privatsphäre oder persönlichem Raum
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Lack of recognition or reward,Manque de reconnaissance / récompense,Mangel an Anerkennung oder Belohnung
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Lack of standard,Manque de normes,Fehlender Standard
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Lack of transparency or trust in leadership,Manque de transparence / confiance en la direction,Mangel an Transparenz oder Vertrauen in die Führung
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Long working hours or shift work,Longues heures de travail / travail en équipe,Lange Arbeitszeiten oder Schichtarbeit
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Low job control or autonomy,Faible autonomie / contrôle,Wenig Kontrolle oder Autonomie am Arbeitsplatz
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Misuse of computer systems / equipment,Mauvaise utilisation des systèmes informatiques / équipements,Missbrauch von Computersystemen / -geräten
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Monotonous or repetitive tasks,Tâches monotones ou répétitives,Monotone oder repetitive Aufgaben
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,New hire / temporary worker,Nouvel employé / intérimaire,Neueingestellter / Temporärer Arbeiter
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Overcrowded or chaotic workspaces,Espaces de travail surpeuplés / chaotiques,Überfüllte oder chaotische Arbeitsplätze
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Poor organizational justice (unfair treatment),Injustice organisationnelle (traitement inéquitable),Schlechte organisatorische Gerechtigkeit (unfaire Behandlung)
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Poor supervisor or managerial support,Manque de soutien managérial,Schlechte Unterstützung durch Vorgesetzte oder Management
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Remote Work Specific Hazards,Risques spécifiques au travail à distance,Spezifische Risiken für Fernarbeit
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Unclear job roles or expectations,Attentes professionnelles peu claires,Unklare Arbeitsrollen oder Erwartungen
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Unfamiliar work,Travail non familier,Unbekannte Arbeit
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Unrealistic deadlines,Délais irréalistes,Unrealistische Fristen
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Violations of rules,Non-respect des règles,Verstöße gegen Regeln
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Work-Life Balance,Équilibre travail-vie privée,Work-Life-Balance
Organizational and Psychosocial,Dangers organisationnels et psychologiques,Organisatorisch und psychosozial,Workplace bullying or harassment,Harcèlement ou intimidation au travail,Mobbing oder Belästigung am Arbeitsplatz
Physical Health Hazards,Dangers liés à l'environnement physique,Physische Gesundheitsrisiken,Cold stress,Stress thermique (froid),Kältestress
Physical Health Hazards,Dangers liés à l'environnement physique,Physische Gesundheitsrisiken,Electro-magnetic fields,Champs électromagnétiques,Elektromagnetische Felder
Physical Health Hazards,Dangers liés à l'environnement physique,Physische Gesundheitsrisiken,Heat stress,Stress thermique (chaleur),Hitzestress
Physical Health Hazards,Dangers liés à l'environnement physique,Physische Gesundheitsrisiken,"Ionizing radiation (X-rays, radioactive elements)","Rayonnements ionisants (rayons X, isotopes radioactifs)","Ionisierende Strahlung (Röntgenstrahlen, radioaktive Elemente)"
Physical Health Hazards,Dangers liés à l'environnement physique,Physische Gesundheitsrisiken,"Non-ionizing radiation (UV, microwave, laser, welding radiations)","Rayonnements non-ionisants (UV, micro-ondes, laser, soudure)","Nicht-ionisierende Strahlung (UV, Mikrowelle, Laser, Schweißstrahlung)"
Physical Health Hazards,Dangers liés à l'environnement physique,Physische Gesundheitsrisiken,Noise exposure,Exposition au bruit,Lärmbelastung
Physical Health Hazards,Dangers liés à l'environnement physique,Physische Gesundheitsrisiken,Physical health [Generic],Santé physique [Générique],Physische Gesundheit [Generisch]
Physical Health Hazards,Dangers liés à l'environnement physique,Physische Gesundheitsrisiken,"Poor lighting (intensity, glare, reflection)","Mauvais éclairage (intensité, éblouissement, reflets)","Schlechte Beleuchtung (Intensität, Blendung, Reflexion)"
Physical Health Hazards,Dangers liés à l'environnement physique,Physische Gesundheitsrisiken,Severe draft (e.g. cold air current),Courants d'air forts,Starker Zug (z.B. kalter Luftstrom)
Physical Health Hazards,Dangers liés à l'environnement physique,Physische Gesundheitsrisiken,Smoke and fumes,Fumées et émanations,Rauch und Dämpfe
Physical Health Hazards,Dangers liés à l'environnement physique,Physische Gesundheitsrisiken,"Vibration / Impact (hand-arm, whole-body)","Vibration / Impact (main-bras, corps entier)","Vibration / Stoß (Hand-Arm, Ganzkörper)"
Transportation,Dangers liés au transport,Transport,"High speed vehicle, tire grip loss","Vitesse excessive, perte d'adhérence","Hochgeschwindigkeitsfahrzeug, Verlust der Reifenhaftung"
Transportation,Dangers liés au transport,Transport,Inadequate load securing,Mauvais arrimage de la charge,Unzureichende Ladungssicherung
Transportation,Dangers liés au transport,Transport,Interaction bicycle/bicycle,Interaction vélo/vélo,Interaktion Fahrrad/Fahrrad
Transportation,Dangers liés au transport,Transport,Interaction bicycle/Vehicle,Interaction vélo/véhicule,Interaktion Fahrrad/Fahrzeug
Transportation,Dangers liés au transport,Transport,Interaction pedestrian/bicycle,Interaction piéton/vélo,Interaktion Fußgänger/Fahrrad
Transportation,Dangers liés au transport,Transport,Interaction pedestrian/pedestrian,Interaction piéton/piéton,Interaktion Fußgänger/Fußgänger
Transportation,Dangers liés au transport,Transport,Interaction pedestrian/Vehicle,Interaction piéton/véhicule,Interaktion Fußgänger/Fahrzeug
Transportation,Dangers liés au transport,Transport,Interaction Vehicle/Stationary items,Interaction véhicule/objets fixes,Interaktion Fahrzeug/Stationäre Gegenstände
Transportation,Dangers liés au transport,Transport,Interaction Vehicle/Vehicle,Interaction véhicule/véhicule,Interaktion Fahrzeug/Fahrzeug
Transportation,Dangers liés au transport,Transport,Poor road or yard conditions,Mauvais état de la route ou de la cour,Schlechte Straßen- oder Hofbedingungen
Transportation,Dangers liés au transport,Transport,Traffic [Generic],Circulation [Générique],Verkehr [Generisch]
Transportation,Dangers liés au transport,Transport,Unintentional vehicle movement,Mouvement involontaire de véhicule,Unbeabsichtigte Fahrzeugbewegung
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,Clutter / Mess,Désordre / Pagaille,Unordnung / Chaos
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,Coactivity area,Zone de coactivité,Koaktivität Bereich
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,Cold surface,Surface froide,Kalte Oberfläche
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,Confined spaces,Espaces confinés,Enge Räume
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,Congested or obstructed workplace,Lieu de travail encombré ou obstrué,Überfüllter oder behinderter Arbeitsplatz
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,Engulfment,Enfouissement,Verschluckung
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,Extreme cold,Froid extrême,Extreme Kälte
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,Extreme heat,Chaleur extrême,Extreme Hitze
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,Extreme wind,Vent fort,Extremer Wind
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,Hot surface,Surface chaude,Heiße Oberfläche
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,Inclined surface,Surface inclinée,Geneigte Oberfläche
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,Lone work,Travail isolé,Alleinige Arbeit
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,Other adverse weather conditions,Autres conditions météo défavorables,Andere widrige Witterungsbedingungen
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,Poor ventilation,Mauvaise ventilation,Schlechte Belüftung
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,Poor visibility,Visibilité réduite,Schlechte Sicht
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,"Protrusion (bump, puncture, cut, etc.)","Protubérance (choc, coupure, perforation, etc.)","Vorsprung (Stoß, Stich, Schnitt usw.)"
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,Rough surface,Surface rugueuse,Raue Oberfläche
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,"Slippery, uneven, unstable or damaged floor","Sol glissant, inégal, instable ou endommagé","Rutschiger, unebener, instabiler oder beschädigter Boden"
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,"Slips, trips, and falls (same level or height)","Glissades, trébuchements et chutes (même niveau ou hauteur)","Ausrutschen, Stolpern und Stürze (gleiche Ebene oder Höhe)"
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,Snow or ice,Neige ou glace,Schnee oder Eis
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,Temporary works or unstable structures,Travaux temporaires ou structures instables,Vorläufige Arbeiten oder instabile Strukturen
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,Unsecured items at height,Objets non sécurisés en hauteur,Ungesicherte Gegenstände in der Höhe
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,Work at height (less than 1.2m / 4 feet),"Travail en hauteur (<1,2 m)","Arbeit in Höhe (<1,2 m - <4 Fuß)"
Workplace / Infrastructure Design,Dangers liés à l'aménagement du poste de travail,Arbeitsplatz / Infrastrukturdesign,Work at height (1.2m / 4 feet or more),"Travail en hauteur (≥1,2 m)","Arbeit in Höhe (≥1,2 m - ≥4 Fuß)"
